Fecha (dd/mm/aaaa),Tasa de cambio representativa del mercado (TRM)
35511,1060.03
35512,1060.03
35513,1060.03
35514,1060.03
35515,1059.53
35516,1059.88
35517,1059.88
35518,1059.88
35519,1059.88
35520,1059.88
35521,1060.93
35522,1061.98
35523,1061.95
35524,1062.46
35525,1062.58
35526,1062.58
35527,1062.58
35528,1063.3
35529,1062.67
35530,1062.78
35531,1060.71
35532,1058.76
35533,1058.76
35534,1058.76
35535,1058.73
35536,1058.97
35537,1056.91
35538,1054.35
35539,1051.43
35540,1051.43
35541,1051.43
35542,1054.94
35543,1057.64
35544,1065.48
35545,1066.77
35546,1063.83
35547,1063.83
35548,1063.83
35549,1064
35550,1063.11
35551,1064.01
35552,1064.01
35553,1068.53
35554,1068.53
35555,1068.53
35556,1076.39
35557,1080.48
35558,1075.05
35559,1073.77
35560,1076.93
35561,1076.93
35562,1076.93
35563,1076.93
35564,1077.36
35565,1074.43
35566,1074.52
35567,1072.24
35568,1072.24
35569,1072.24
35570,1073.54
35571,1075.2
35572,1080.44
35573,1080.43
35574,1076.69
35575,1076.69
35576,1076.69
35577,1076.69
35578,1076.24
35579,1074.32
35580,1076.4
35581,1077.09
35582,1077.09
35583,1077.09
35584,1077.09
35585,1079.1
35586,1077.19
35587,1076.49
35588,1076.18
35589,1076.18
35590,1076.18
35591,1076.18
35592,1078.64
35593,1080.61
35594,1080.46
35595,1080.59
35596,1080.59
35597,1080.59
35598,1082.43
35599,1086
35600,1084.38
35601,1084.28
35602,1086.36
35603,1086.36
35604,1086.36
35605,1088.16
35606,1086.47
35607,1087.72
35608,1090.58
35609,1089.01
35610,1089.01
35611,1089.01
35612,1089.01
35613,1093.25
35614,1098.72
35615,1102.84
35616,1101.57
35617,1101.57
35618,1101.57
35619,1102.45
35620,1101.18
35621,1098.64
35622,1097.88
35623,1098.46
35624,1098.46
35625,1098.46
35626,1099.56
35627,1099.25
35628,1100.83
35629,1102.48
35630,1105.33
35631,1105.33
35632,1105.33
35633,1109.46
35634,1110.32
35635,1106.7
35636,1106.64
35637,1106.06
35638,1106.06
35639,1106.06
35640,1108.16
35641,1106.67
35642,1109.65
35643,1112.53
35644,1113.43
35645,1113.43
35646,1113.43
35647,1112.83
35648,1115.43
35649,1115.2
35650,1115.2
35651,1118.96
35652,1118.96
35653,1118.96
35654,1119.38
35655,1120.33
35656,1125.62
35657,1128.25
35658,1129.05
35659,1129.05
35660,1129.05
35661,1129.05
35662,1137.54
35663,1140.54
35664,1149.19
35665,1154.23
35666,1154.23
35667,1154.23
35668,1145.52
35669,1154.89
35670,1161.15
35671,1167.28
35672,1172.28
35673,1172.28
35674,1172.28
35675,1174.01
35676,1169.38
35677,1172.82
35678,1180.94
35679,1186.98
35680,1186.98
35681,1186.98
35682,1204.09
35683,1238.21
35684,1250.03
35685,1232.12
35686,1228.01
35687,1228.01
35688,1228.01
35689,1245.06
35690,1243.58
35691,1241.83
35692,1236.31
35693,1238.29
35694,1238.29
35695,1238.29
35696,1242.45
35697,1248.83
35698,1251.88
35699,1249.73
35700,1241.72
35701,1241.72
35702,1241.72
35703,1246.27
35704,1244.63
35705,1243.27
35706,1242.16
35707,1244.84
35708,1244.84
35709,1244.84
35710,1250.95
35711,1247.51
35712,1252.74
35713,1258.04
35714,1265.38
35715,1265.38
35716,1265.38
35717,1265.38
35718,1272.77
35719,1263.79
35720,1268.87
35721,1264.7
35722,1264.7
35723,1264.7
35724,1264.6
35725,1264.32
35726,1267.87
35727,1267.1
35728,1272.02
35729,1272.02
35730,1272.02
35731,1274.05
35732,1289.84
35733,1282.82
35734,1281.2
35735,1284.65
35736,1284.65
35737,1284.65
35738,1284.65
35739,1284.63
35740,1281.18
35741,1286.73
35742,1291.35
35743,1291.35
35744,1291.35
35745,1295.52
35746,1294.51
35747,1296.66
35748,1297.87
35749,1298.04
35750,1298.04
35751,1298.04
35752,1298.04
35753,1297.94
35754,1296.62
35755,1298.19
35756,1296.3
35757,1296.3
35758,1296.3
35759,1296.37
35760,1299.19
35761,1303.15
35762,1303.1
35763,1305.66
35764,1305.66
35765,1305.66
35766,1307.54
35767,1307.01
35768,1299.43
35769,1298.64
35770,1300.55
35771,1300.55
35772,1300.55
35773,1300.55
35774,1298.78
35775,1301.15
35776,1304.85
35777,1307.42
35778,1307.42
35779,1307.42
35780,1304.02
35781,1296.3
35782,1286.74
35783,1286.12
35784,1287.51
35785,1287.51
35786,1287.51
35787,1288.32
35788,1281.6
35789,1281.6
35790,1281.6
35791,1286.92
35792,1286.92
35793,1286.92
35794,1291.92
35795,1293.58
35796,1293.58
35797,1293.58
35798,1304.33
35799,1304.33
35800,1304.33
35801,1317.15
35802,1318.57
35803,1315.95
35804,1313.56
35805,1315.7
35806,1315.7
35807,1315.7
35808,1315.7
35809,1318.25
35810,1318.53
35811,1319.21
35812,1322.16
35813,1322.16
35814,1322.16
35815,1325.07
35816,1327
35817,1331.48
35818,1334.71
35819,1332.78
35820,1332.78
35821,1332.78
35822,1336.38
35823,1337.3
35824,1339.57
35825,1341.85
35826,1342
35827,1342
35828,1342
35829,1343.9
35830,1345.01
35831,1345.46
35832,1346.09
35833,1346.42
35834,1346.42
35835,1346.42
35836,1347.72
35837,1348.23
35838,1348.86
35839,1349.34
35840,1349.54
35841,1349.54
35842,1349.54
35843,1350.97
35844,1350.23
35845,1349.95
35846,1350.1
35847,1347.94
35848,1347.94
35849,1347.94
35850,1340.92
35851,1334.72
35852,1340.75
35853,1344.25
35854,1343.85
35855,1343.85
35856,1343.85
35857,1349.04
35858,1352.21
35859,1349.8
35860,1353.19
35861,1353.71
35862,1353.71
35863,1353.71
35864,1354.9
35865,1355.88
35866,1356.63
35867,1356.7
35868,1355.9
35869,1355.9
35870,1355.9
35871,1358.66
35872,1359.96
35873,1360.56
35874,1361.87
35875,1361.86
35876,1361.86
35877,1361.86
35878,1361.86
35879,1364.4
35880,1364.76
35881,1365.66
35882,1361.49
35883,1361.49
35884,1361.49
35885,1358.03
35886,1360.26
35887,1362.54
35888,1357.75
35889,1357.71
35890,1357.71
35891,1357.71
35892,1355.5
35893,1354.15
35894,1357.14
35895,1357.14
35896,1357.14
35897,1357.14
35898,1357.14
35899,1363.38
35900,1365.21
35901,1364.06
35902,1360.74
35903,1360.49
35904,1360.49
35905,1360.49
35906,1360.42
35907,1357.51
35908,1355.94
35909,1354.91
35910,1359.99
35911,1359.99
35912,1359.99
35913,1368.17
35914,1371.35
35915,1365.72
35916,1364.07
35917,1364.07
35918,1364.07
35919,1364.07
35920,1369.31
35921,1375.39
35922,1382.27
35923,1383.04
35924,1385.38
35925,1385.38
35926,1385.38
35927,1387.78
35928,1388.04
35929,1387.15
35930,1384.97
35931,1383.31
35932,1383.31
35933,1383.31
35934,1387.26
35935,1390.89
35936,1392.18
35937,1393.62
35938,1394.33
35939,1394.33
35940,1394.33
35941,1394.33
35942,1396.51
35943,1397.12
35944,1396.69
35945,1397.07
35946,1397.07
35947,1397.07
35948,1398.53
35949,1399.56
35950,1399.02
35951,1397.63
35952,1387.12
35953,1387.12
35954,1387.12
35955,1386.53
35956,1376.25
35957,1383.23
35958,1388.76
35959,1380.51
35960,1380.51
35961,1380.51
35962,1380.51
35963,1388.5
35964,1394.39
35965,1390.85
35966,1394.8
35967,1394.8
35968,1394.8
35969,1394.8
35970,1381.11
35971,1375.02
35972,1363.67
35973,1363.04
35974,1363.04
35975,1363.04
35976,1363.04
35977,1369.88
35978,1358.05
35979,1345.65
35980,1348.06
35981,1348.06
35982,1348.06
35983,1357.78
35984,1368.16
35985,1369.12
35986,1370.45
35987,1374.23
35988,1374.23
35989,1374.23
35990,1380.27
35991,1381.22
35992,1378.01
35993,1376.74
35994,1381.54
35995,1381.54
35996,1381.54
35997,1381.54
35998,1380.87
35999,1376.87
36000,1378.88
36001,1379.61
36002,1379.61
36003,1379.61
36004,1378.33
36005,1376.12
36006,1373.49
36007,1370.65
36008,1372.14
36009,1372.14
36010,1372.14
36011,1371.16
36012,1368.24
36013,1366.44
36014,1364.9
36015,1364.9
36016,1364.9
36017,1364.9
36018,1359.22
36019,1365.58
36020,1371.23
36021,1377.08
36022,1386.02
36023,1386.02
36024,1386.02
36025,1386.02
36026,1385.77
36027,1384.24
36028,1391.55
36029,1407.27
36030,1407.27
36031,1407.27
36032,1418.22
36033,1420.27
36034,1430.33
36035,1438.16
36036,1440.87
36037,1440.87
36038,1440.87
36039,1441.86
36040,1442.95
36041,1518.56
36042,1532.19
36043,1538.84
36044,1538.84
36045,1538.84
36046,1511.55
36047,1505.66
36048,1493.4
36049,1506.27
36050,1505.85
36051,1505.85
36052,1505.85
36053,1510.41
36054,1516.92
36055,1520.63
36056,1531.49
36057,1533.95
36058,1533.95
36059,1533.95
36060,1529.26
36061,1541.16
36062,1561.28
36063,1548.95
36064,1547.81
36065,1547.81
36066,1547.81
36067,1556.25
36068,1556.15
36069,1556.52
36070,1573.22
36071,1578.96
36072,1578.96
36073,1578.96
36074,1585.64
36075,1588.64
36076,1586.53
36077,1587.46
36078,1590.64
36079,1590.64
36080,1590.64
36081,1590.64
36082,1592.11
36083,1591.01
36084,1594.19
36085,1596.21
36086,1596.21
36087,1596.21
36088,1598.18
36089,1598.61
36090,1597.79
36091,1599.15
36092,1597.97
36093,1597.97
36094,1597.97
36095,1590.64
36096,1576.38
36097,1577.9
36098,1577.19
36099,1575.08
36100,1575.08
36101,1575.08
36102,1575.08
36103,1569.93
36104,1568.54
36105,1563.32
36106,1553.71
36107,1553.71
36108,1553.71
36109,1559.35
36110,1571.76
36111,1577.61
36112,1578.79
36113,1580.99
36114,1580.99
36115,1580.99
36116,1580.99
36117,1583.29
36118,1569.6
36119,1558.49
36120,1539.38
36121,1539.38
36122,1539.38
36123,1547.92
36124,1557.57
36125,1545.53
36126,1543.45
36127,1547.11
36128,1547.11
36129,1547.11
36130,1545.88
36131,1545.82
36132,1539.32
36133,1545.89
36134,1552.48
36135,1552.48
36136,1552.48
36137,1548.63
36138,1548.63
36139,1541.14
36140,1530.63
36141,1531.13
36142,1531.13
36143,1531.13
36144,1532.76
36145,1529.07
36146,1523.8
36147,1515.98
36148,1494.11
36149,1494.11
36150,1494.11
36151,1477.51
36152,1467.04
36153,1484.88
36154,1484.88
36155,1484.88
36156,1484.88
36157,1484.88
36158,1507.52
36159,1535.55
36160,1542.11
36161,1542.11
36162,1542.11
36163,1542.11
36164,1542.11
36165,1545.11
36166,1528.28
36167,1530.48
36168,1543.22
36169,1535.96
36170,1535.96
36171,1535.96
36172,1535.96
36173,1549.35
36174,1588.8
36175,1584.42
36176,1596.59
36177,1596.59
36178,1596.59
36179,1580.4
36180,1587.18
36181,1582.57
36182,1589.65
36183,1591.81
36184,1591.81
36185,1591.81
36186,1591.58
36187,1591.69
36188,1590.33
36189,1580.72
36190,1582.9
36191,1582.9
36192,1582.9
36193,1581.27
36194,1576.22
36195,1574.07
36196,1575.69
36197,1570.94
36198,1570.94
36199,1570.94
36200,1562.14
36201,1563.39
36202,1570.81
36203,1564.04
36204,1565.57
36205,1565.57
36206,1565.57
36207,1557.79
36208,1561.53
36209,1569.4
36210,1567.17
36211,1560.46
36212,1560.46
36213,1560.46
36214,1556.65
36215,1550.88
36216,1557.97
36217,1572.46
36218,1568.3
36219,1568.3
36220,1568.3
36221,1560.4
36222,1557.94
36223,1558.66
36224,1555.84
36225,1552.37
36226,1552.37
36227,1552.37
36228,1552.44
36229,1550.33
36230,1545.09
36231,1552.28
36232,1562.91
36233,1562.91
36234,1562.91
36235,1563.97
36236,1561.74
36237,1554.85
36238,1550.03
36239,1546.77
36240,1546.77
36241,1546.77
36242,1546.77
36243,1544.6
36244,1541.74
36245,1534.28
36246,1525.59
36247,1525.59
36248,1525.59
36249,1529.59
36250,1533.51
36251,1533.32
36252,1533.32
36253,1533.32
36254,1533.32
36255,1533.32
36256,1532.48
36257,1534.13
36258,1548.14
36259,1574.77
36260,1588.17
36261,1588.17
36262,1588.17
36263,1588.19
36264,1603.95
36265,1593.17
36266,1586.04
36267,1578.93
36268,1578.93
36269,1578.93
36270,1570.53
36271,1563.94
36272,1570.34
36273,1573.86
36274,1578.98
36275,1578.98
36276,1578.98
36277,1580.78
36278,1590.53
36279,1598.69
36280,1604.44
36281,1611.48
36282,1611.48
36283,1611.48
36284,1613.61
36285,1603.97
36286,1610.66
36287,1618
36288,1631.71
36289,1631.71
36290,1631.71
36291,1627.3
36292,1631.02
36293,1631.95
36294,1630.08
36295,1640.15
36296,1640.15
36297,1640.15
36298,1640.15
36299,1644.11
36300,1643.05
36301,1644.6
36302,1665.36
36303,1665.36
36304,1665.36
36305,1671.2
36306,1669.27
36307,1682.12
36308,1685.33
36309,1671.67
36310,1671.67
36311,1671.67
36312,1663.55
36313,1657.7
36314,1667.88
36315,1654.75
36316,1653.96
36317,1653.96
36318,1653.96
36319,1653.96
36320,1672.01
36321,1679.12
36322,1686.08
36323,1682.09
36324,1682.09
36325,1682.09
36326,1682.09
36327,1694.56
36328,1698.55
36329,1693.75
36330,1692.36
36331,1692.36
36332,1692.36
36333,1694.26
36334,1710.03
36335,1723.26
36336,1734.83
36337,1737.91
36338,1737.91
36339,1737.91
36340,1751
36341,1732.1
36342,1736.03
36343,1751.26
36344,1755.31
36345,1755.31
36346,1755.31
36347,1755.31
36348,1772.69
36349,1795.36
36350,1831.1
36351,1840.38
36352,1840.38
36353,1840.38
36354,1887.17
36355,1926.55
36356,1881.42
36357,1823.29
36358,1821.95
36359,1821.95
36360,1821.95
36361,1819.04
36362,1819.04
36363,1809.56
36364,1807.9
36365,1831.19
36366,1831.19
36367,1831.19
36368,1829.63
36369,1829.06
36370,1817.09
36371,1806.52
36372,1809.5
36373,1809.5
36374,1809.5
36375,1813.6
36376,1800.79
36377,1822.84
36378,1834.97
36379,1849.12
36380,1849.12
36381,1849.12
36382,1852.8
36383,1855.03
36384,1865.3
36385,1893.25
36386,1879.15
36387,1879.15
36388,1879.15
36389,1879.15
36390,1880.39
36391,1898.03
36392,1892.5
36393,1907.94
36394,1907.94
36395,1907.94
36396,1912.27
36397,1921.87
36398,1921.16
36399,1914.22
36400,1936.12
36401,1936.12
36402,1936.12
36403,1954.72
36404,1941.25
36405,1934.46
36406,1943.23
36407,1943.24
36408,1943.24
36409,1943.24
36410,1947.31
36411,1969.82
36412,1972.35
36413,1976.07
36414,1981.41
36415,1981.41
36416,1981.41
36417,1977.85
36418,1970.54
36419,1967.58
36420,1977.52
36421,1987.08
36422,1987.08
36423,1987.08
36424,1981.64
36425,1975.46
36426,1992.36
36427,1994.86
36428,1995.64
36429,1995.64
36430,1995.64
36431,2013.24
36432,2003.82
36433,2017.27
36434,2015.15
36435,2004.22
36436,2004.22
36437,2004.22
36438,1992.65
36439,2000.48
36440,1995.71
36441,1993.18
36442,1992.74
36443,1992.74
36444,1992.74
36445,1992.03
36446,1988.7
36447,1981.14
36448,1975.8
36449,1977.04
36450,1977.04
36451,1977.04
36452,1977.04
36453,1965.92
36454,1957.53
36455,1946
36456,1946.24
36457,1946.24
36458,1946.24
36459,1949.33
36460,1966.07
36461,1968.9
36462,1965.44
36463,1971.59
36464,1971.59
36465,1971.59
36466,1971.59
36467,1966.5
36468,1960.7
36469,1962.16
36470,1959.46
36471,1959.46
36472,1959.46
36473,1954.56
36474,1948.05
36475,1951.11
36476,1958.41
36477,1961.8
36478,1961.8
36479,1961.8
36480,1961.8
36481,1961.7
36482,1946.27
36483,1927.47
36484,1925.11
36485,1925.11
36486,1925.11
36487,1935.48
36488,1925
36489,1912.86
36490,1918.85
36491,1921.93
36492,1921.93
36493,1921.93
36494,1923.77
36495,1922.47
36496,1918.63
36497,1911.35
36498,1903.8
36499,1903.8
36500,1903.8
36501,1886.46
36502,1888.99
36503,1888.99
36504,1906.91
36505,1900.22
36506,1900.22
36507,1900.22
36508,1905.5
36509,1891.67
36510,1874.14
36511,1879.55
36512,1867.02
36513,1867.02
36514,1867.02
36515,1868.47
36516,1884.64
36517,1886.27
36518,1874.77
36519,1874.58
36520,1874.58
36521,1874.58
36522,1870.65
36523,1867.82
36524,1873.77
36525,1873.77
36526,1873.77
36527,1873.77
36528,1873.77
36529,1874.35
36530,1895.97
36531,1912.69
36532,1911.33
36533,1900.14
36534,1900.14
36535,1900.14
36536,1900.14
36537,1902.25
36538,1904.54
36539,1917.38
36540,1920.83
36541,1920.83
36542,1920.83
36543,1919.21
36544,1928.51
36545,1945.17
36546,1938.84
36547,1931.97
36548,1931.97
36549,1931.97
36550,1943.88
36551,1939.63
36552,1958.17
36553,1976.14
36554,1976.72
36555,1976.72
36556,1976.72
36557,1973.36
36558,1970.61
36559,1965.61
36560,1947.55
36561,1948.6
36562,1948.6
36563,1948.6
36564,1950.59
36565,1949.54
36566,1946.51
36567,1952.29
36568,1948.16
36569,1948.16
36570,1948.16
36571,1950.77
36572,1949.61
36573,1946.79
36574,1945.31
36575,1947.41
36576,1947.41
36577,1947.41
36578,1943.83
36579,1941.54
36580,1944.18
36581,1947.72
36582,1947.28
36583,1947.28
36584,1947.28
36585,1946.17
36586,1948.05
36587,1950.88
36588,1956.8
36589,1961.16
36590,1961.16
36591,1961.16
36592,1965.63
36593,1964.26
36594,1960.47
36595,1959.77
36596,1958.48
36597,1958.48
36598,1958.48
36599,1957.5
36600,1955.75
36601,1954.26
36602,1950.01
36603,1952.98
36604,1952.98
36605,1952.98
36606,1952.98
36607,1956.98
36608,1959.84
36609,1954.57
36610,1954.83
36611,1954.83
36612,1954.83
36613,1958.93
36614,1955.14
36615,1949.75
36616,1951.56
36617,1958.12
36618,1958.12
36619,1958.12
36620,1963.22
36621,1964.1
36622,1968.92
36623,1986.96
36624,1996.24
36625,1996.24
36626,1996.24
36627,1998.25
36628,1986.75
36629,1987.38
36630,1987.36
36631,1987.39
36632,1987.39
36633,1987.39
36634,1996.29
36635,2003.02
36636,1996.07
36637,1996.07
36638,1996.07
36639,1996.07
36640,1996.07
36641,1991.17
36642,1988.65
36643,1998.95
36644,2002.95
36645,2004.47
36646,2004.47
36647,2004.47
36648,2004.47
36649,2001.62
36650,2015.92
36651,2027.26
36652,2033.17
36653,2033.17
36654,2033.17
36655,2044.59
36656,2031.86
36657,2021.68
36658,2031.96
36659,2039.29
36660,2039.29
36661,2039.29
36662,2035.54
36663,2037.1
36664,2047.79
36665,2055.35
36666,2076.85
36667,2076.85
36668,2076.85
36669,2094.73
36670,2111.94
36671,2142.14
36672,2113.28
36673,2096.52
36674,2096.52
36675,2096.52
36676,2077.28
36677,2084.92
36678,2096.96
36679,2095.1
36680,2118.57
36681,2118.57
36682,2118.57
36683,2118.57
36684,2121.73
36685,2127.03
36686,2125.3
36687,2115.86
36688,2115.86
36689,2115.86
36690,2106.97
36691,2122.24
36692,2111.09
36693,2110.57
36694,2114.8
36695,2114.8
36696,2114.8
36697,2115.15
36698,2123.58
36699,2134.34
36700,2129.13
36701,2123.99
36702,2123.99
36703,2123.99
36704,2123.99
36705,2135.65
36706,2136.22
36707,2139.11
36708,2150.76
36709,2150.76
36710,2150.76
36711,2150.76
36712,2151.05
36713,2163.44
36714,2168.65
36715,2165.51
36716,2165.51
36717,2165.51
36718,2171.63
36719,2182.56
36720,2172.16
36721,2166.22
36722,2156.32
36723,2156.32
36724,2156.32
36725,2144.01
36726,2151.56
36727,2155.81
36728,2155.81
36729,2152.3
36730,2152.3
36731,2152.3
36732,2147.65
36733,2153.91
36734,2165.37
36735,2173.78
36736,2172.79
36737,2172.79
36738,2172.79
36739,2174.55
36740,2175.02
36741,2173.62
36742,2177.67
36743,2180.64
36744,2180.64
36745,2180.64
36746,2180.64
36747,2176.52
36748,2176.17
36749,2179.6
36750,2180.89
36751,2180.89
36752,2180.89
36753,2180.99
36754,2185.45
36755,2185.46
36756,2185.75
36757,2183.01
36758,2183.01
36759,2183.01
36760,2183.01
36761,2187.83
36762,2196.72
36763,2205.6
36764,2208.82
36765,2208.82
36766,2208.82
36767,2208.17
36768,2204.22
36769,2208.21
36770,2212.97
36771,2214
36772,2214
36773,2214
36774,2210.32
36775,2211.13
36776,2211.11
36777,2209.18
36778,2204.85
36779,2204.85
36780,2204.85
36781,2206.39
36782,2206.93
36783,2208.64
36784,2212.73
36785,2210.34
36786,2210.34
36787,2210.34
36788,2211.36
36789,2210.81
36790,2212.93
36791,2223.46
36792,2232.24
36793,2232.24
36794,2232.24
36795,2228.05
36796,2222.67
36797,2216.93
36798,2211.94
36799,2212.26
36800,2212.26
36801,2212.26
36802,2210.4
36803,2201.51
36804,2194.98
36805,2185.06
36806,2187.38
36807,2187.38
36808,2187.38
36809,2184.26
36810,2182.17
36811,2175.97
36812,2175.96
36813,2180.69
36814,2180.69
36815,2180.69
36816,2180.69
36817,2178.13
36818,2162.86
36819,2152.31
36820,2159.79
36821,2159.79
36822,2159.79
36823,2157.84
36824,2153.18
36825,2170.32
36826,2167.26
36827,2158.14
36828,2158.14
36829,2158.14
36830,2158.36
36831,2147.89
36832,2138.95
36833,2136.73
36834,2139.21
36835,2139.21
36836,2139.21
36837,2139.21
36838,2134.08
36839,2124.84
36840,2127.51
36841,2126.41
36842,2126.41
36843,2126.41
36844,2126.41
36845,2125.17
36846,2125.31
36847,2121.64
36848,2122.63
36849,2122.63
36850,2122.63
36851,2122.61
36852,2124.16
36853,2131.76
36854,2141.14
36855,2141.91
36856,2141.91
36857,2141.91
36858,2158.05
36859,2169.82
36860,2172.84
36861,2168.6
36862,2174.85
36863,2174.85
36864,2174.85
36865,2180.3
36866,2184.18
36867,2174.29
36868,2176.33
36869,2176.33
36870,2176.33
36871,2176.33
36872,2175.57
36873,2183.08
36874,2186.87
36875,2184.76
36876,2175.91
36877,2175.91
36878,2175.91
36879,2179.13
36880,2187.17
36881,2185.05
36882,2187.02
36883,2193.57
36884,2193.57
36885,2193.57
36886,2193.57
36887,2196.76
36888,2215.35
36889,2229.18
36890,2229.18
36891,2229.18
36892,2229.18
36893,2229.18
36894,2219.6
36895,2224.38
36896,2239.89
36897,2243.16
36898,2243.16
36899,2243.16
36900,2243.16
36901,2235.43
36902,2230.14
36903,2246.58
36904,2251.75
36905,2251.75
36906,2251.75
36907,2248.61
36908,2245.89
36909,2236.46
36910,2246.74
36911,2244.59
36912,2244.59
36913,2244.59
36914,2240.02
36915,2255.82
36916,2254.35
36917,2250.03
36918,2245.46
36919,2245.46
36920,2245.46
36921,2240.56
36922,2240.8
36923,2242.08
36924,2240.04
36925,2242.2
36926,2242.2
36927,2242.2
36928,2238.35
36929,2235.03
36930,2238.09
36931,2242.68
36932,2237.58
36933,2237.58
36934,2237.58
36935,2229.59
36936,2237.37
36937,2239.03
36938,2238.61
36939,2238.51
36940,2238.51
36941,2238.51
36942,2245.16
36943,2247.09
36944,2252.65
36945,2252.86
36946,2257.7
36947,2257.7
36948,2257.7
36949,2256.42
36950,2257.45
36951,2259.64
36952,2265.44
36953,2264.09
36954,2264.09
36955,2264.09
36956,2259.07
36957,2260.33
36958,2262.06
36959,2262.55
36960,2264.01
36961,2264.01
36962,2264.01
36963,2275.98
36964,2275.92
36965,2282.01
36966,2281.02
36967,2282.96
36968,2282.96
36969,2282.96
36970,2282.96
36971,2282.17
36972,2284.04
36973,2290.02
36974,2295.74
36975,2295.74
36976,2295.74
36977,2293.99
36978,2299.68
36979,2303.86
36980,2309.83
36981,2310.57
36982,2310.57
36983,2310.57
36984,2304.19
36985,2308.64
36986,2315.81
36987,2317.46
36988,2318.58
36989,2318.58
36990,2318.58
36991,2315.21
36992,2309.84
36993,2314.07
36994,2314.07
36995,2314.07
36996,2314.07
36997,2314.07
36998,2320.18
36999,2319.57
37000,2316.91
37001,2327.08
37002,2329.73
37003,2329.73
37004,2329.73
37005,2334.38
37006,2339.16
37007,2345.21
37008,2345.57
37009,2346.73
37010,2346.73
37011,2346.73
37012,2341.09
37013,2341.09
37014,2345.96
37015,2349.95
37016,2354.47
37017,2354.47
37018,2354.47
37019,2359.54
37020,2359.22
37021,2359.98
37022,2359.79
37023,2367.3
37024,2367.3
37025,2367.3
37026,2371.58
37027,2376.93
37028,2378.21
37029,2378.41
37030,2348.88
37031,2348.88
37032,2348.88
37033,2314.75
37034,2316.72
37035,2295.23
37036,2310.64
37037,2339.98
37038,2339.98
37039,2339.98
37040,2339.98
37041,2331.91
37042,2324.98
37043,2327.25
37044,2319.16
37045,2319.16
37046,2319.16
37047,2296.88
37048,2303.37
37049,2303.38
37050,2303.41
37051,2296.31
37052,2296.31
37053,2296.31
37054,2309.06
37055,2313.74
37056,2302.16
37057,2300.18
37058,2303.13
37059,2303.13
37060,2303.13
37061,2303.13
37062,2307.78
37063,2305.35
37064,2300.46
37065,2298.88
37066,2298.88
37067,2298.88
37068,2298.88
37069,2304.68
37070,2307.03
37071,2305.33
37072,2298.85
37073,2298.85
37074,2298.85
37075,2298.85
37076,2300.02
37077,2303.26
37078,2303.36
37079,2304.75
37080,2304.75
37081,2304.75
37082,2305.37
37083,2306.16
37084,2312.21
37085,2323.99
37086,2317.92
37087,2317.92
37088,2317.92
37089,2302.56
37090,2298.76
37091,2298.63
37092,2301.67
37093,2301.67
37094,2301.67
37095,2301.67
37096,2302.26
37097,2301.56
37098,2302.7
37099,2301.53
37100,2301.7
37101,2301.7
37102,2301.7
37103,2298.27
37104,2293.25
37105,2295.19
37106,2298.91
37107,2295.72
37108,2295.72
37109,2295.72
37110,2291.46
37111,2291.46
37112,2295.05
37113,2291.5
37114,2288.03
37115,2288.03
37116,2288.03
37117,2284.9
37118,2284.98
37119,2291.41
37120,2288.18
37121,2285.06
37122,2285.06
37123,2285.06
37124,2285.06
37125,2283.86
37126,2279.25
37127,2275.07
37128,2273.5
37129,2273.5
37130,2273.5
37131,2282.56
37132,2290.57
37133,2297.24
37134,2301.23
37135,2296.85
37136,2296.85
37137,2296.85
37138,2305.15
37139,2305.28
37140,2312.87
37141,2317.02
37142,2320.09
37143,2320.09
37144,2320.09
37145,2324.78
37146,2341.28
37147,2341.14
37148,2337.25
37149,2342.44
37150,2342.44
37151,2342.44
37152,2342.18
37153,2338.39
37154,2342.04
37155,2341.68
37156,2342.18
37157,2342.18
37158,2342.18
37159,2329.7
37160,2327.09
37161,2328.49
37162,2328.75
37163,2332.19
37164,2332.19
37165,2332.19
37166,2338.45
37167,2334.24
37168,2336.18
37169,2336.28
37170,2331.03
37171,2331.03
37172,2331.03
37173,2331.02
37174,2328.91
37175,2320.41
37176,2312.33
37177,2314.74
37178,2314.74
37179,2314.74
37180,2314.74
37181,2303.3
37182,2300.01
37183,2313.24
37184,2315.26
37185,2315.26
37186,2315.26
37187,2318.47
37188,2316.14
37189,2319.53
37190,2316.68
37191,2314.5
37192,2314.5
37193,2314.5
37194,2311.42
37195,2310.02
37196,2309.12
37197,2309.89
37198,2309.42
37199,2309.42
37200,2309.42
37201,2309.42
37202,2309.22
37203,2306.57
37204,2307.24
37205,2303.68
37206,2303.68
37207,2303.68
37208,2303.68
37209,2300.69
37210,2302.81
37211,2311.57
37212,2314.33
37213,2314.33
37214,2314.33
37215,2310.9
37216,2314.86
37217,2319.34
37218,2317.57
37219,2316.4
37220,2316.4
37221,2316.4
37222,2313.26
37223,2312.9
37224,2310.97
37225,2308.59
37226,2303.35
37227,2303.35
37228,2303.35
37229,2304.13
37230,2314.76
37231,2315.36
37232,2314.89
37233,2310.9
37234,2310.9
37235,2310.9
37236,2308.41
37237,2306.56
37238,2307.12
37239,2312
37240,2318.67
37241,2318.67
37242,2318.67
37243,2310.58
37244,2306.82
37245,2307.1
37246,2306.88
37247,2303.15
37248,2303.15
37249,2303.15
37250,2297.59
37251,2297.59
37252,2297.17
37253,2301.33
37254,2291.18
37255,2291.18
37256,2291.18
37257,2291.18
37258,2291.18
